wapapa,wowowow
803,1
722,0
913,1
896,1
808,1
968,0
622,1
734,1
746,0
626,1
834,1
858,0
667,1
860,1
910,0
600,0
852,1
991,1
990,1
652,0
865,0
965,0
772,0
989,1
904,0
859,1
742,0
917,0
702,0
754,1
768,0
637,0
664,0
925,0
950,0
704,0
884,0
953,1
997,1
992,0
696,0
876,0
891,0
980,0
812,1
904,0
923,0
982,0
732,0
959,1
878,0
780,0
870,0
681,0
915,0
774,1
710,1
739,0
629,1
791,1
791,0
679,0
734,0
643,1
812,1
661,1
838,1
648,0
629,0
676,0
874,1
953,0
678,1
802,0
601,1
775,0
742,0
719,1
966,0
954,1
721,0
774,1
941,0
628,1
608,0
601,0
602,1
846,1
982,1
873,0
892,1
891,1
779,0
722,1
987,0
767,1
688,1
809,0
784,1
808,1
779,1
761,1
899,1
925,0
829,0
801,0
776,1
635,1
788,0
896,0
791,1
765,0
871,0
742,1
994,0
965,0
825,1
876,1
753,0
703,1
887,1
728,1
678,0
622,0
796,1
656,1
923,0
754,1
789,0
737,1
743,0
787,1
851,1
698,0
920,0
848,0
747,0
958,1
821,1
628,1
686,1
940,0
886,1
624,1
861,0
601,1
659,1
966,0
939,1
988,1
615,0
796,0
913,1
794,1
707,0
840,1
720,0
671,0
852,0
747,1
946,1
996,0
658,1
909,0
971,0
807,0
657,1
632,0
644,0
609,1
848,1
697,0
963,0
739,0
832,1
710,0
959,1
849,0
814,0
825,1
768,1
856,1
891,0
981,0
950,0
836,0
767,0
985,0
961,1
679,0
660,1
752,0
857,1
734,1
853,1
688,1
941,0
952,0
751,0
809,0
822,1
677,0
640,0
981,0
755,0
632,1
686,1
996,0
845,1
748,0
655,0
908,0
616,1
698,1
738,0
726,0
836,0
634,0
778,0
904,0
816,0
797,1
730,1
605,0
709,1
988,0
908,1
903,0
672,0
842,1
744,0
901,1
903,0
776,0
941,1
930,1
659,0
803,0
613,0
634,1
898,0
721,1
792,0
841,0
869,1
623,1
716,0
982,1
823,0
779,1
915,1
626,0
731,1
802,0
753,0
824,0
744,0
716,0
981,1
637,0
656,0
687,0
745,0
766,0
976,1
713,1
889,1
731,1
917,0
656,0
614,1
803,0
714,1
901,0
952,0
830,1
607,0
622,0
775,0
714,0
899,1
767,1
750,0
805,1
688,0
611,0
872,1
600,1
730,1
779,0
739,0
764,1
931,1
640,1
835,0
785,0
965,1
768,1
858,1
977,1
786,0
667,0
640,0
694,1
831,1
835,0
636,0
614,1
977,0
989,1
845,1
923,0
686,0
836,1
966,0
719,0
852,0
904,1
957,0
629,0
954,0
821,1
722,1
897,1
626,0
678,0
757,1
845,1
927,0
767,0
917,1
695,1
721,1
851,0
672,0
681,1
875,1
743,1
987,0
611,1
629,0
853,0
877,0
866,1
705,1
855,0
670,0
760,0
991,0
818,1
980,1
964,1
670,1
637,0
616,0
919,1
923,0
747,1
612,0
746,0
705,0
956,1
621,1
675,1
659,1
804,1
894,0
884,0
989,1
827,1
704,1
771,1
705,1
730,1
873,0
909,1
808,0
932,1
801,0
788,1
972,0
705,1
935,0
632,1
924,0
761,0
983,1
881,1
987,1
649,1
988,1
867,1
979,1
887,1
918,0
665,1
822,0
995,1
865,0
761,1
916,1
962,0
628,1
799,0
697,0
723,1
893,0
629,0
840,1
943,0
796,1
725,0
667,1
882,1
810,1
821,0
874,1
847,1
878,1
872,0
698,0
730,0
910,0
852,1
744,0
638,1
812,1
947,1
611,1
619,0
774,0
681,0
725,1
624,0
811,0
669,1
951,0
998,1
640,0
760,0
650,1
991,1
733,1
906,1
893,1
947,1
773,0
794,1
641,0
628,0
765,0
635,0
741,0
763,0
797,1
755,1
792,0
824,1
604,1
928,1
695,1
652,1
686,0
817,1
696,0
940,1
800,0
927,1
952,1
829,1
755,1
683,0
614,1
731,0
773,1
739,1
716,1
811,0
950,1
724,0
960,1
802,1
670,0
898,1
742,0
898,0
925,0
608,1
889,1
878,1
878,1
860,1
669,0
689,1
828,1
772,0
966,1
701,1
944,0
995,1
947,0
857,0
966,1
864,0
722,1
778,0
884,0
662,1
792,0
798,0
952,0
943,1
733,1
703,1
887,0
751,1
836,0
843,0
828,0
662,1
672,0
695,0
947,0
661,0
669,1
758,0
725,1
765,0
714,0
831,0
886,1
780,0
953,0
672,1
755,0
985,0
669,1
811,0
829,0
909,1
755,1
664,0
839,1
906,1
884,0
985,1
658,0
778,0
626,0
646,1
669,0
988,1
642,1
959,1
777,1
855,1
950,1
786,1
859,1
901,0
754,0
641,1
608,1
708,1
973,1
654,0
795,0
980,1
668,0
676,1
715,0
763,1
734,0
871,0
908,1
973,1
827,1
918,0
760,1
777,0
639,0
978,1
659,1
694,1
645,0
966,1
656,1
839,0
618,0
637,0
981,0
782,0
632,1
894,0
900,1
614,0
886,0
688,0
680,0
690,1
